"filename", "language", "TypeScript", "JSON with Comments", "Markdown", "JSON", "Inno Setup", "PostCSS", "HTML", "JavaScript", "Batch", "XML", "PowerShell", "TypeScript JSX", "SCSS", "comment", "blank", "total"
"d:\JavaScript\zapret-gui\public\mainwindowr\src\Components\header\header.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 0, 0, 1, 18
"d:\JavaScript\zapret-gui\public\mainwindowr\src\Components\header\notifiesListBtn.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 0, 0, 1, 15
"d:\JavaScript\zapret-gui\public\mainwindowr\src\Components\header\notifiesList\notifiesList.module.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 76, 0, 7, 83
"d:\JavaScript\zapret-gui\public\mainwindowr\src\Components\header\notifiesList\notifiesList.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 35, 0, 0, 4, 39
"d:\JavaScript\zapret-gui\public\mainwindowr\src\Components\header\notifiesList\notifyArchived.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 38, 0, 0, 1, 39
"d:\JavaScript\zapret-gui\public\mainwindowr\src\Components\leftColumn\checkConnectionBlock\checkConnectionBlock.module.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 0, 0, 13
"d:\JavaScript\zapret-gui\public\mainwindowr\src\Components\leftColumn\checkConnectionBlock\checkConnectionBlock.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 66, 0, 0, 10, 76
"d:\JavaScript\zapret-gui\public\mainwindowr\src\Components\leftColumn\checkConnectionBlock\connectionCheckerImage\assets\bad.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 1, 11
"d:\JavaScript\zapret-gui\public\mainwindowr\src\Components\leftColumn\checkConnectionBlock\connectionCheckerImage\assets\good.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 1, 4
"d:\JavaScript\zapret-gui\public\mainwindowr\src\Components\leftColumn\checkConnectionBlock\connectionCheckerImage\assets\no_internet.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 1, 11
"d:\JavaScript\zapret-gui\public\mainwindowr\src\Components\leftColumn\checkConnectionBlock\connectionCheckerImage\assets\unstable.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 1, 4
"d:\JavaScript\zapret-gui\public\mainwindowr\src\Components\leftColumn\checkConnectionBlock\connectionCheckerImage\connectionCheckerImage.module.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 3
"d:\JavaScript\zapret-gui\public\mainwindowr\src\Components\leftColumn\checkConnectionBlock\connectionCheckerImage\connectionCheckerImage.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 37, 0, 0, 6, 43
"d:\JavaScript\zapret-gui\public\mainwindowr\src\Components\leftColumn\checkConnectionBlock\connectionChecker\connectionChecker.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 0, 0, 17
"d:\JavaScript\zapret-gui\public\mainwindowr\src\Components\leftColumn\checkConnectionBlock\connectionChecker\connectionChecker.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 23, 0, 3, 3, 29
"d:\JavaScript\zapret-gui\public\mainwindowr\src\Components\leftColumn\coreBlock\coreBlock.css", "PostCSS", 0, 0, 0, 0, 0, 56, 0, 0, 0, 0, 0, 0, 0, 0, 12, 68
"d:\JavaScript\zapret-gui\public\mainwindowr\src\Components\leftColumn\coreBlock\coreBlock.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 56, 0, 10, 66
"d:\JavaScript\zapret-gui\public\mainwindowr\src\Components\leftColumn\coreBlock\coreBlock.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 47, 0, 0, 4, 51
"d:\JavaScript\zapret-gui\public\mainwindowr\src\Components\leftColumn\leftColumn.css", "PostCSS", 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4
"d:\JavaScript\zapret-gui\public\mainwindowr\src\Components\leftColumn\leftColumn.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 5
"d:\JavaScript\zapret-gui\public\mainwindowr\src\Components\leftColumn\leftColumn.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 0, 0, 1, 12
"d:\JavaScript\zapret-gui\public\mainwindowr\src\Components\leftColumn\statusBlock\choices\choices.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 80, 7, 7, 94
"d:\JavaScript\zapret-gui\public\mainwindowr\src\Components\leftColumn\statusBlock\choices\choices.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 51, 0, 1, 6, 58
"d:\JavaScript\zapret-gui\public\mainwindowr\src\Components\leftColumn\statusBlock\statusBlock.css", "PostCSS", 0, 0, 0, 0, 0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 4, 25
"d:\JavaScript\zapret-gui\public\mainwindowr\src\Components\leftColumn\statusBlock\statusBlock.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 21, 0, 3, 24
"d:\JavaScript\zapret-gui\public\mainwindowr\src\Components\leftColumn\statusBlock\statusBlock.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 22, 0, 0, 3, 25
"d:\JavaScript\zapret-gui\public\mainwindowr\src\Components\rightColumn\container\container.css", "PostCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\JavaScript\zapret-gui\public\mainwindowr\src\Components\rightColumn\container\container.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\JavaScript\zapret-gui\public\mainwindowr\src\Components\rightColumn\container\container.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 0, 0, 2, 13
"d:\JavaScript\zapret-gui\public\mainwindowr\src\Components\rightColumn\discordCacheCleaner.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 39, 0, 0, 6, 45
"d:\JavaScript\zapret-gui\public\mainwindowr\src\Components\rightColumn\rightColumn.css", "PostCSS", 0, 0, 0, 0, 0, 26, 0, 0, 0, 0, 0, 0, 0, 0, 4, 30
"d:\JavaScript\zapret-gui\public\mainwindowr\src\Components\rightColumn\rightColumn.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 25, 1, 0, 26
"d:\JavaScript\zapret-gui\public\mainwindowr\src\Components\rightColumn\rightColumn.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 84, 0, 0, 4, 88
